time,IRL,VDS,VAC,Unnamed: 4
0.11028,0.000388251,4.96117,2.10797,
0.11128,0.000408779,4.95912,2.12388,
0.11228,0.00042973,4.95703,2.13971,
0.11328,0.000451093,4.95489,2.15545,
0.11428,0.000472859,4.95271,2.17111,
0.11528,0.000495018,4.9505,2.18668,
0.11628,0.00051756,4.94824,2.20217,
0.11728,0.000540476,4.94595,2.21757,
0.11828,0.000563756,4.94362,2.23288,
0.11928,0.00058739,4.94126,2.2481,
0.12028,0.000611368,4.93886,2.26323,
0.12128,0.000635682,4.93643,2.27828,
0.12228,0.00066032,4.93397,2.29323,
0.12328,0.000685274,4.93147,2.3081,
0.12428,0.000710534,4.92895,2.32287,
0.12528,0.00073609,4.92639,2.33755,
0.12628,0.000761932,4.92381,2.35214,
0.12728,0.000788052,4.92119,2.36664,
0.12828,0.000814439,4.91856,2.38104,
0.12928,0.000841083,4.91589,2.39535,
0.13028,0.000867975,4.9132,2.40957,
0.13128,0.000895106,4.91049,2.42369,
0.13228,0.000922465,4.90775,2.43771,
0.13328,0.000950044,4.905,2.45164,
0.13428,0.000977832,4.90222,2.46547,
0.13528,0.00100582,4.89942,2.4792,
0.13628,0.001034,4.8966,2.49284,
0.13728,0.00106236,4.89376,2.50637,
0.13828,0.00109089,4.89091,2.51981,
0.13928,0.00111958,4.88804,2.53315,
0.14028,0.00114842,4.88516,2.54639,
0.14128,0.00117741,4.88226,2.55953,
0.14228,0.00120653,4.87935,2.57257,
0.14328,0.00123577,4.87642,2.5855,
0.14428,0.00126513,4.87349,2.59833,
0.14528,0.00129459,4.87054,2.61107,
0.14628,0.00132415,4.86759,2.62369,
0.14728,0.00135379,4.86462,2.63622,
0.14828,0.00138351,4.86165,2.64864,
0.14928,0.0014133,4.85867,2.66095,
0.15028,0.00144314,4.85569,2.67316,
0.15128,0.00147303,4.8527,2.68527,
0.15228,0.00150297,4.8497,2.69727,
0.15328,0.00153293,4.84671,2.70916,
0.15428,0.00156291,4.84371,2.72095,
0.15528,0.00159291,4.84071,2.73262,
0.15628,0.00162291,4.83771,2.7442,
0.15728,0.0016529,4.83471,2.75566,
0.15828,0.00168287,4.83171,2.76701,
0.15928,0.00171283,4.82872,2.77825,
0.16028,0.00174275,4.82573,2.78939,
0.16128,0.00177262,4.82274,2.80041,
0.16228,0.00180245,4.81975,2.81133,
0.16328,0.00183222,4.81678,2.82213,
0.16428,0.00186192,4.81381,2.83282,
0.16528,0.00189154,4.81085,2.8434,
0.16628,0.00192108,4.80789,2.85387,
0.16728,0.00195052,4.80495,2.86422,
0.16828,0.00197986,4.80201,2.87446,
0.16928,0.00200909,4.79909,2.88459,
0.17028,0.0020382,4.79618,2.8946,
0.17128,0.00206718,4.79328,2.9045,
0.17228,0.00209603,4.7904,2.91429,
0.17328,0.00212473,4.78753,2.92396,
0.17428,0.00215328,4.78467,2.93351,
0.17528,0.00218167,4.78183,2.94295,
0.17628,0.00220989,4.77901,2.95228,
0.17728,0.00223794,4.77621,2.96148,
0.17828,0.0022658,4.77342,2.97057,
0.17928,0.00229347,4.77065,2.97954,
0.18028,0.00232094,4.76791,2.9884,
0.18128,0.00234821,4.76518,2.99713,
0.18228,0.00237526,4.76247,3.00575,
0.18328,0.00240209,4.75979,3.01425,
0.18428,0.00242869,4.75713,3.02263,
0.18528,0.00245505,4.75449,3.03089,
0.18628,0.00248117,4.75188,3.03903,
0.18728,0.00250704,4.7493,3.04705,
0.18828,0.00253265,4.74673,3.05495,
0.18928,0.002558,4.7442,3.06274,
0.19028,0.00258307,4.74169,3.07039,
0.19128,0.00260787,4.73921,3.07793,
